h	0780	haa
S	0781	shaviyani
n	0782	noonu
r	0783	raa
b	0784	baa
L	0785	lhaviyani
k	0786	kaafu
w	0787	alifu
v	0788	vaavu
m	0789	meemu
f	078A	faafu
d	078B	dhaalu
t	078C	thaa
l	078D	laamu
g	078E	gaafu
N	078F	gnaviyani
s	0790	seenu
D	0791	daviyani
z	0792	zaviyani
T	0793	taviyani
y	0794	yaa
p	0795	paviyani
j	0796	javiyani
c	0797	chaviyani
X	0798	ttaa
H	0799	hhaa
K	079A	khaa
J	079B	thaalu
R	079C	zaa
C	079D	sheenu
M	079E	saadhu
Y	079F	daadhu
Z	07A0	to
B	07A1	zo
G	07A2	ainu
Q	07A3	ghainu
F	07A4	qaafu
V	07A5	waavu
a	07A6	abafili
A	07A7	aabaafili
i	07A8	ibifili
I	07A9	eebeefili
u	07AA	ubufili
U	07AB	ooboofili
e	07AC	ebefili
E	07AD	eybeyfili
o	07AE	obofili
O	07AF	oaboafili
q	07B0	sukun
